misspelling,correct,predicted,top1,top5,rr,edit_dist
ab,albert,ab,0,0,0.0,4
ameraca,america,america,1,1,1.0,1
amercia,america,america,1,1,1.0,1
ameracan,american,american,1,1,1.0,1
apirl,april,apirl,0,0,0.0,1
austrain,austrian,australian,0,1,0.3333333333333333,1
badcock,badcock's,badcock's,1,1,1.0,2
bechuarnia_land,bechuanaland,background,0,0,0.0,3
botuania,botswana,botanical,0,1,0.5,3
cambrige,cambridge,cambridge,1,1,1.0,1
canda,canada,and,0,1,0.3333333333333333,1
chactuquoe,chautauqua,costs,0,0,0.0,4
chalktwa,chautauqua,chalta,0,0,0.0,6
chaqua,chautauqua,chase,0,0,0.0,4
chata,chautauqua,that,0,0,0.0,5
chatacqua,chautauqua,chautauqua,1,1,1.0,2
chatacque,chautauqua,chautauqua,1,1,1.0,3
chatalkwa,chautauqua,chataka,0,0,0.0,4
chataqua,chautauqua,chautauqua,1,1,1.0,2
chataque,chautauqua,cts,0,1,0.3333333333333333,3
chataukowa,chautauqua,chautauqua,1,1,1.0,4
chataukwa,chautauqua,chautauqua,1,1,1.0,3
chatauwkwa,chautauqua,chautauqua,1,1,1.0,4
chateau,chautauqua,chateau,0,0,0.0,5
chatocqua,chautauqua,chautauqua,1,1,1.0,3
chatogua,chautauqua,cts,0,1,0.3333333333333333,4
chatoukouv,chautauqua,catsup,0,0,0.0,5
chattakqua,chautauqua,chautauqua,1,1,1.0,2
chatuaca,chautauqua,cts,0,0,0.0,4
chatwakwa,chautauqua,chataka,0,1,0.2,5
chauetouequa,chautauqua,chautauqua,1,1,1.0,3
chauta,chautauqua,cut,0,0,0.0,4
chautakye,chautauqua,chautauqua,1,1,1.0,4
chautaqua,chautauqua,chautauqua,1,1,1.0,1
chautauchua,chautauqua,chautauqua,1,1,1.0,2
chautiqua,chautauqua,chautauqua,1,1,1.0,2
chautogqwa,chautauqua,chautauqua,1,1,1.0,3
chautqua,chautauqua,chautauqua,1,1,1.0,2
chawtakque,chautauqua,chautauqua,1,1,1.0,3
chawtawque,chautauqua,chautauqua,1,1,1.0,3
cheautauqua,chautauqua,chautauqua,1,1,1.0,1
chetdacowa,chautauqua,cities,0,0,0.0,6
chetoquoi,chautauqua,cts,0,0,0.0,6
chicahwa,chautauqua,chicha,0,0,0.0,6
chictocua,chautauqua,costs,0,0,0.0,5
chicugta,chautauqua,cicuta,0,0,0.0,6
chistupa,chautauqua,schistus,0,0,0.0,5
chitacque,chautauqua,city,0,0,0.0,4
chitalka,chautauqua,chital,0,0,0.0,5
chitalkwa,chautauqua,catalog,0,0,0.0,5
chitaqua,chautauqua,city,0,1,0.3333333333333333,3
chitauqua,chautauqua,chautauqua,1,1,1.0,2
chitoqua,chautauqua,city,0,1,0.3333333333333333,4
chittiqua,chautauqua,city,0,1,0.3333333333333333,4
chochatta,chautauqua,coast,0,0,0.0,6
chottago,chautauqua,cottage,0,0,0.0,6
chouativa,chautauqua,cativo,0,0,0.0,5
chtacu,chautauqua,cts,0,0,0.0,4
chuatackqua,chautauqua,chautauqua,1,1,1.0,3
chuatuaque,chautauqua,chautauqua,1,1,1.0,3
chuatuaton,chautauqua,chattation,0,0,0.0,5
